Area|Religious affiliation|Age group|Sex|Year|Value|Flags
"Howick Local Board Area"|"Object to answering"|"85-89 years"|"Male"|"2018"|45|
"Howick Local Board Area"|"Object to answering"|"85-89 years"|"Female"|"2018"|51|
"Mangere-Otahuhu Local Board Area"|"Total people - with at least one religious affiliation"|"85-89 years"|"Male"|"2018"|108|
"Mangere-Otahuhu Local Board Area"|"Total people - with at least one religious affiliation"|"85-89 years"|"Female"|"2018"|180|
"Mangere-Otahuhu Local Board Area"|"No religion"|"85-89 years"|"Male"|"2018"|21|
"Mangere-Otahuhu Local Board Area"|"No religion"|"85-89 years"|"Female"|"2018"|18|
"Mangere-Otahuhu Local Board Area"|"Object to answering"|"85-89 years"|"Male"|"2018"|9|
"Mangere-Otahuhu Local Board Area"|"Object to answering"|"85-89 years"|"Female"|"2018"|12|
"Otara-Papatoetoe Local Board Area"|"Total people - with at least one religious affiliation"|"85-89 years"|"Male"|"2018"|87|
"Otara-Papatoetoe Local Board Area"|"Total people - with at least one religious affiliation"|"85-89 years"|"Female"|"2018"|201|
"Otara-Papatoetoe Local Board Area"|"No religion"|"85-89 years"|"Male"|"2018"|39|
"Otara-Papatoetoe Local Board Area"|"No religion"|"85-89 years"|"Female"|"2018"|39|
"Otara-Papatoetoe Local Board Area"|"Object to answering"|"85-89 years"|"Male"|"2018"|18|
"Otara-Papatoetoe Local Board Area"|"Object to answering"|"85-89 years"|"Female"|"2018"|21|
"Manurewa Local Board Area"|"Total people - with at least one religious affiliation"|"85-89 years"|"Male"|"2018"|150|
"Manurewa Local Board Area"|"Total people - with at least one religious affiliation"|"85-89 years"|"Female"|"2018"|258|
"Manurewa Local Board Area"|"No religion"|"85-89 years"|"Male"|"2018"|51|
"Manurewa Local Board Area"|"No religion"|"85-89 years"|"Female"|"2018"|42|
"Manurewa Local Board Area"|"Object to answering"|"85-89 years"|"Male"|"2018"|18|
"Manurewa Local Board Area"|"Object to answering"|"85-89 years"|"Female"|"2018"|36|
"Papakura Local Board Area"|"Total people - with at least one religious affiliation"|"85-89 years"|"Male"|"2018"|102|
"Papakura Local Board Area"|"Total people - with at least one religious affiliation"|"85-89 years"|"Female"|"2018"|204|
"Papakura Local Board Area"|"No religion"|"85-89 years"|"Male"|"2018"|48|
"Papakura Local Board Area"|"No religion"|"85-89 years"|"Female"|"2018"|66|
"Papakura Local Board Area"|"Object to answering"|"85-89 years"|"Male"|"2018"|18|
"Papakura Local Board Area"|"Object to answering"|"85-89 years"|"Female"|"2018"|33|
"Franklin Local Board Area"|"Total people - with at least one religious affiliation"|"85-89 years"|"Male"|"2018"|174|
"Franklin Local Board Area"|"Total people - with at least one religious affiliation"|"85-89 years"|"Female"|"2018"|303|
"Franklin Local Board Area"|"No religion"|"85-89 years"|"Male"|"2018"|87|
"Franklin Local Board Area"|"No religion"|"85-89 years"|"Female"|"2018"|72|
"Franklin Local Board Area"|"Object to answering"|"85-89 years"|"Male"|"2018"|30|
"Franklin Local Board Area"|"Object to answering"|"85-89 years"|"Female"|"2018"|45|
"Thames-Coromandel District"|"Total people - with at least one religious affiliation"|"85-89 years"|"Male"|"2018"|165|
"Thames-Coromandel District"|"Total people - with at least one religious affiliation"|"85-89 years"|"Female"|"2018"|231|
"Thames-Coromandel District"|"No religion"|"85-89 years"|"Male"|"2018"|78|
"Thames-Coromandel District"|"No religion"|"85-89 years"|"Female"|"2018"|60|
"Thames-Coromandel District"|"Object to answering"|"85-89 years"|"Male"|"2018"|27|
"Thames-Coromandel District"|"Object to answering"|"85-89 years"|"Female"|"2018"|15|
"Hauraki District"|"Total people - with at least one religious affiliation"|"85-89 years"|"Male"|"2018"|78|
"Hauraki District"|"Total people - with at least one religious affiliation"|"85-89 years"|"Female"|"2018"|117|
"Hauraki District"|"No religion"|"85-89 years"|"Male"|"2018"|36|
"Hauraki District"|"No religion"|"85-89 years"|"Female"|"2018"|33|
"Hauraki District"|"Object to answering"|"85-89 years"|"Male"|"2018"|15|
"Hauraki District"|"Object to answering"|"85-89 years"|"Female"|"2018"|18|
"Waikato District"|"Total people - with at least one religious affiliation"|"85-89 years"|"Male"|"2018"|141|
"Waikato District"|"Total people - with at least one religious affiliation"|"85-89 years"|"Female"|"2018"|225|
"Waikato District"|"No religion"|"85-89 years"|"Male"|"2018"|66|
"Waikato District"|"No religion"|"85-89 years"|"Female"|"2018"|51|
"Waikato District"|"Object to answering"|"85-89 years"|"Male"|"2018"|27|
"Waikato District"|"Object to answering"|"85-89 years"|"Female"|"2018"|27|
"Matamata-Piako District"|"Total people - with at least one religious affiliation"|"85-89 years"|"Male"|"2018"|141|
"Matamata-Piako District"|"Total people - with at least one religious affiliation"|"85-89 years"|"Female"|"2018"|258|
"Matamata-Piako District"|"No religion"|"85-89 years"|"Male"|"2018"|75|
"Matamata-Piako District"|"No religion"|"85-89 years"|"Female"|"2018"|60|
"Matamata-Piako District"|"Object to answering"|"85-89 years"|"Male"|"2018"|24|
"Matamata-Piako District"|"Object to answering"|"85-89 years"|"Female"|"2018"|33|
"Hamilton City"|"Total people - with at least one religious affiliation"|"85-89 years"|"Male"|"2018"|399|
"Hamilton City"|"Total people - with at least one religious affiliation"|"85-89 years"|"Female"|"2018"|804|
"Hamilton City"|"No religion"|"85-89 years"|"Male"|"2018"|168|
"Hamilton City"|"No religion"|"85-89 years"|"Female"|"2018"|162|
"Hamilton City"|"Object to answering"|"85-89 years"|"Male"|"2018"|48|
"Hamilton City"|"Object to answering"|"85-89 years"|"Female"|"2018"|72|
"Waipa District"|"Total people - with at least one religious affiliation"|"85-89 years"|"Male"|"2018"|180|
"Waipa District"|"Total people - with at least one religious affiliation"|"85-89 years"|"Female"|"2018"|345|
"Waipa District"|"No religion"|"85-89 years"|"Male"|"2018"|84|
"Waipa District"|"No religion"|"85-89 years"|"Female"|"2018"|72|
"Waipa District"|"Object to answering"|"85-89 years"|"Male"|"2018"|33|
"Waipa District"|"Object to answering"|"85-89 years"|"Female"|"2018"|51|
"Otorohanga District"|"Total people - with at least one religious affiliation"|"85-89 years"|"Male"|"2018"|30|
"Otorohanga District"|"Total people - with at least one religious affiliation"|"85-89 years"|"Female"|"2018"|39|
"Otorohanga District"|"No religion"|"85-89 years"|"Male"|"2018"|3|
"Otorohanga District"|"No religion"|"85-89 years"|"Female"|"2018"|12|
"Otorohanga District"|"Object to answering"|"85-89 years"|"Male"|"2018"|6|
"Otorohanga District"|"Object to answering"|"85-89 years"|"Female"|"2018"|3|
"South Waikato District"|"Total people - with at least one religious affiliation"|"85-89 years"|"Male"|"2018"|69|
"South Waikato District"|"Total people - with at least one religious affiliation"|"85-89 years"|"Female"|"2018"|117|
"South Waikato District"|"No religion"|"85-89 years"|"Male"|"2018"|48|
"South Waikato District"|"No religion"|"85-89 years"|"Female"|"2018"|24|
"South Waikato District"|"Object to answering"|"85-89 years"|"Male"|"2018"|9|
"South Waikato District"|"Object to answering"|"85-89 years"|"Female"|"2018"|9|
"Waitomo District"|"Total people - with at least one religious affiliation"|"85-89 years"|"Male"|"2018"|21|
"Waitomo District"|"Total people - with at least one religious affiliation"|"85-89 years"|"Female"|"2018"|45|
"Waitomo District"|"No religion"|"85-89 years"|"Male"|"2018"|9|
"Waitomo District"|"No religion"|"85-89 years"|"Female"|"2018"|6|
"Waitomo District"|"Object to answering"|"85-89 years"|"Male"|"2018"|3|
"Waitomo District"|"Object to answering"|"85-89 years"|"Female"|"2018"|3|
"Taupo District"|"Total people - with at least one religious affiliation"|"85-89 years"|"Male"|"2018"|117|
"Taupo District"|"Total people - with at least one religious affiliation"|"85-89 years"|"Female"|"2018"|207|
"Taupo District"|"No religion"|"85-89 years"|"Male"|"2018"|60|
"Taupo District"|"No religion"|"85-89 years"|"Female"|"2018"|54|
"Taupo District"|"Object to answering"|"85-89 years"|"Male"|"2018"|18|
"Taupo District"|"Object to answering"|"85-89 years"|"Female"|"2018"|27|
"Western Bay of Plenty District"|"Total people - with at least one religious affiliation"|"85-89 years"|"Male"|"2018"|177|
"Western Bay of Plenty District"|"Total people - with at least one religious affiliation"|"85-89 years"|"Female"|"2018"|249|
"Western Bay of Plenty District"|"No religion"|"85-89 years"|"Male"|"2018"|93|
"Western Bay of Plenty District"|"No religion"|"85-89 years"|"Female"|"2018"|75|
"Western Bay of Plenty District"|"Object to answering"|"85-89 years"|"Male"|"2018"|33|
"Western Bay of Plenty District"|"Object to answering"|"85-89 years"|"Female"|"2018"|36|
"Tauranga City"|"Total people - with at least one religious affiliation"|"85-89 years"|"Male"|"2018"|645|
"Tauranga City"|"Total people - with at least one religious affiliation"|"85-89 years"|"Female"|"2018"|1023|
"Tauranga City"|"No religion"|"85-89 years"|"Male"|"2018"|270|
"Tauranga City"|"No religion"|"85-89 years"|"Female"|"2018"|264|
"Tauranga City"|"Object to answering"|"85-89 years"|"Male"|"2018"|81|
"Tauranga City"|"Object to answering"|"85-89 years"|"Female"|"2018"|123|
"Rotorua District"|"Total people - with at least one religious affiliation"|"85-89 years"|"Male"|"2018"|183|
"Rotorua District"|"Total people - with at least one religious affiliation"|"85-89 years"|"Female"|"2018"|315|
"Rotorua District"|"No religion"|"85-89 years"|"Male"|"2018"|87|
"Rotorua District"|"No religion"|"85-89 years"|"Female"|"2018"|72|
"Rotorua District"|"Object to answering"|"85-89 years"|"Male"|"2018"|21|
"Rotorua District"|"Object to answering"|"85-89 years"|"Female"|"2018"|45|
"Whakatane District"|"Total people - with at least one religious affiliation"|"85-89 years"|"Male"|"2018"|117|
"Whakatane District"|"Total people - with at least one religious affiliation"|"85-89 years"|"Female"|"2018"|159|
"Whakatane District"|"No religion"|"85-89 years"|"Male"|"2018"|42|
"Whakatane District"|"No religion"|"85-89 years"|"Female"|"2018"|51|
"Whakatane District"|"Object to answering"|"85-89 years"|"Male"|"2018"|9|
"Whakatane District"|"Object to answering"|"85-89 years"|"Female"|"2018"|21|
"Kawerau District"|"Total people - with at least one religious affiliation"|"85-89 years"|"Male"|"2018"|36|
"Kawerau District"|"Total people - with at least one religious affiliation"|"85-89 years"|"Female"|"2018"|45|
"Kawerau District"|"No religion"|"85-89 years"|"Male"|"2018"|12|
"Kawerau District"|"No religion"|"85-89 years"|"Female"|"2018"|9|
"Kawerau District"|"Object to answering"|"85-89 years"|"Male"|"2018"|6|
"Kawerau District"|"Object to answering"|"85-89 years"|"Female"|"2018"|6|
"Opotiki District"|"Total people - with at least one religious affiliation"|"85-89 years"|"Male"|"2018"|36|
"Opotiki District"|"Total people - with at least one religious affiliation"|"85-89 years"|"Female"|"2018"|39|
"Opotiki District"|"No religion"|"85-89 years"|"Male"|"2018"|12|
"Opotiki District"|"No religion"|"85-89 years"|"Female"|"2018"|9|
"Opotiki District"|"Object to answering"|"85-89 years"|"Male"|"2018"|3|
"Opotiki District"|"Object to answering"|"85-89 years"|"Female"|"2018"|6|
"Gisborne District"|"Total people - with at least one religious affiliation"|"85-89 years"|"Male"|"2018"|159|
"Gisborne District"|"Total people - with at least one religious affiliation"|"85-89 years"|"Female"|"2018"|288|
"Gisborne District"|"No religion"|"85-89 years"|"Male"|"2018"|54|
"Gisborne District"|"No religion"|"85-89 years"|"Female"|"2018"|42|
"Gisborne District"|"Object to answering"|"85-89 years"|"Male"|"2018"|18|
"Gisborne District"|"Object to answering"|"85-89 years"|"Female"|"2018"|30|
"Wairoa District"|"Total people - with at least one religious affiliation"|"85-89 years"|"Male"|"2018"|33|
"Wairoa District"|"Total people - with at least one religious affiliation"|"85-89 years"|"Female"|"2018"|30|
"Wairoa District"|"No religion"|"85-89 years"|"Male"|"2018"|12|
"Wairoa District"|"No religion"|"85-89 years"|"Female"|"2018"|3|
"Wairoa District"|"Object to answering"|"85-89 years"|"Male"|"2018"|3|
"Wairoa District"|"Object to answering"|"85-89 years"|"Female"|"2018"|9|
"Hastings District"|"Total people - with at least one religious affiliation"|"85-89 years"|"Male"|"2018"|264|
"Hastings District"|"Total people - with at least one religious affiliation"|"85-89 years"|"Female"|"2018"|468|
"Hastings District"|"No religion"|"85-89 years"|"Male"|"2018"|96|
"Hastings District"|"No religion"|"85-89 years"|"Female"|"2018"|90|
"Hastings District"|"Object to answering"|"85-89 years"|"Male"|"2018"|30|
"Hastings District"|"Object to answering"|"85-89 years"|"Female"|"2018"|45|
"Napier City"|"Total people - with at least one religious affiliation"|"85-89 years"|"Male"|"2018"|264|
"Napier City"|"Total people - with at least one religious affiliation"|"85-89 years"|"Female"|"2018"|435|
"Napier City"|"No religion"|"85-89 years"|"Male"|"2018"|108|
"Napier City"|"No religion"|"85-89 years"|"Female"|"2018"|111|
"Napier City"|"Object to answering"|"85-89 years"|"Male"|"2018"|27|
"Napier City"|"Object to answering"|"85-89 years"|"Female"|"2018"|36|
"Central Hawke's Bay District"|"Total people - with at least one religious affiliation"|"85-89 years"|"Male"|"2018"|51|
"Central Hawke's Bay District"|"Total people - with at least one religious affiliation"|"85-89 years"|"Female"|"2018"|84|
"Central Hawke's Bay District"|"No religion"|"85-89 years"|"Male"|"2018"|24|
"Central Hawke's Bay District"|"No religion"|"85-89 years"|"Female"|"2018"|15|
"Central Hawke's Bay District"|"Object to answering"|"85-89 years"|"Male"|"2018"|12|
"Central Hawke's Bay District"|"Object to answering"|"85-89 years"|"Female"|"2018"|3|
"New Plymouth District"|"Total people - with at least one religious affiliation"|"85-89 years"|"Male"|"2018"|330|
"New Plymouth District"|"Total people - with at least one religious affiliation"|"85-89 years"|"Female"|"2018"|570|
"New Plymouth District"|"No religion"|"85-89 years"|"Male"|"2018"|126|
"New Plymouth District"|"No religion"|"85-89 years"|"Female"|"2018"|102|
"New Plymouth District"|"Object to answering"|"85-89 years"|"Male"|"2018"|54|
"New Plymouth District"|"Object to answering"|"85-89 years"|"Female"|"2018"|69|
"Stratford District"|"Total people - with at least one religious affiliation"|"85-89 years"|"Male"|"2018"|36|
"Stratford District"|"Total people - with at least one religious affiliation"|"85-89 years"|"Female"|"2018"|63|
"Stratford District"|"No religion"|"85-89 years"|"Male"|"2018"|12|
"Stratford District"|"No religion"|"85-89 years"|"Female"|"2018"|15|
"Stratford District"|"Object to answering"|"85-89 years"|"Male"|"2018"|9|
"Stratford District"|"Object to answering"|"85-89 years"|"Female"|"2018"|3|
"South Taranaki District"|"Total people - with at least one religious affiliation"|"85-89 years"|"Male"|"2018"|84|
"South Taranaki District"|"Total people - with at least one religious affiliation"|"85-89 years"|"Female"|"2018"|138|
"South Taranaki District"|"No religion"|"85-89 years"|"Male"|"2018"|27|
"South Taranaki District"|"No religion"|"85-89 years"|"Female"|"2018"|18|
"South Taranaki District"|"Object to answering"|"85-89 years"|"Male"|"2018"|18|
"South Taranaki District"|"Object to answering"|"85-89 years"|"Female"|"2018"|18|
"Ruapehu District"|"Total people - with at least one religious affiliation"|"85-89 years"|"Male"|"2018"|30|
"Ruapehu District"|"Total people - with at least one religious affiliation"|"85-89 years"|"Female"|"2018"|45|
